철도운영기관명,선명,역명,지번주소,도로명주소,,,,,,,,,
코레일,1호선,가능,경기도 의정부시 가능동 197-1,경기도 의정부시 평화로 633,경기도,의정부시,평화로,633,,,,,
코레일,1호선,가산디지털단지,서울특별시 금천구 가산동 468-4,서울특별시 금천구 벚꽃로 309,서울특별시,금천구,벚꽃로,309,,,,,
코레일,1호선,간석,인천광역시 남동구 간석4동 762번지,인천광역시 남동구 석정로 522-14,인천광역시,남동구,석정로,522-14,,,,,
코레일,1호선,개봉,서울특별시 구로구 개보동 415,서울특별시 구로구 경인로40길 47,서울특별시,구로구,경인로40길,47,,,,,
코레일,1호선,관악,경기도 안양시 만악구 석수동 101-16,경기도 안양시 만안구 경수대로1273번길 46,경기도,안양시,만안구,경수대로1273번길,46,,,,
코레일,1호선,광명,경기도 광명시 일직동 276-1,경기도 광명시 광명역로 21,경기도,광명시,광명역로,21,,,,,
코레일,1호선,광운대,노원구 월계동 85,노원구 석계로 98-2,노원구,석계로,Feb-98,,,,,,
코레일,1호선,구로,서울특별시 구로구 구로동 585-3,서울특별시 구로구 구로중앙로 174,서울특별시,구로구,구로중앙로,174,,,,,
코레일,1호선,구일,서울시 구로구 구로1동 642-7,서울시 구로구 구일로 133,서울시,구로구,구일로,133,,,,,
코레일,1호선,군포,경기도 군포시 당동 134-1,경기도 군포시 군포역1길 27  ,경기도,군포시,군포역1길,27,,,,,
코레일,1호선,금정,경기도 군포시 금정동 613 금정역,경기도 군포시 군포로 750(금정동),경기도,군포시,군포로,750(금정동),,,,,
코레일,1호선,금천구청,서울특별시 금천구 시흥대로63길 91  ,서울특별시 금천구 시흥대로63길 91  ,서울특별시,금천구,시흥대로63길,91,,,,,
코레일,1호선,남영,서울특별시 용산구 갈월동 96-1,서울특별시 용산구 한강대로77길 25  ,서울특별시,용산구,한강대로77길,25,,,,,
코레일,1호선,노량진,서울특별시 동작구 노량진동 67-2,서울특별시 동작구 노량진로 151  ,서울특별시,동작구,노량진로,151,,,,,
코레일,1호선,녹양,경기도 의정부시 녹양동 96-1,경기도 의정부시 평화로 757,경기도,의정부시,평화로,757,,,,,
코레일,1호선,녹천,서울특별시 도봉구 창동 57-11,서울특별시 도봉구 덕릉로 376,서울특별시,도봉구,덕릉로,376,,,,,
코레일,1호선,당정,경기도 군포시 당정동 938번지,경기도 군포시 당정역로 91,경기도,군포시,당정역로,91,,,,,
코레일,1호선,대방,서울특별시 영등포구 신길동 1368-3,서울특별시 영등포구 여의대방로 300,서울특별시,영등포구,여의대방로,300,,,,,
코레일,1호선,덕계,경기도 양주시 덕계동 209-5,경기도 양주시 덕계로 126,경기도,양주시,덕계로,126,,,,,
코레일,1호선,덕정,경기도 양주시 덕정동 350-14,경기도 양주시 화합로 1356,경기도,양주시,화합로,1356,,,,,
코레일,1호선,도봉,서울시 도봉구 도봉2동 639,서울특별시 도봉구 도봉로 170길 2,서울특별시,도봉구,도봉로,170길,2,,,,
코레일,1호선,도봉산,서울특별시 도봉구 도봉동 301-5,서울특별시 도봉구 도봉로 948,서울특별시,도봉구,도봉로,948,,,,,
코레일,1호선,도원,인천광역시 동구 창영동 179-1번지,인천광역시 동구 참외전로 245번지,인천광역시,동구,참외전로,245번지,,,,,
코레일,1호선,도화,도화동 668,인천광역시 미추홀구 숙골로 24번길 9,인천광역시,미추홀구,숙골로,24번길,9,,,,
코레일,1호선,독산,서울특별시 금천구 가산동 717,서울특별시 금천구 벚꽃로115,서울특별시,금천구,벚꽃로115,,,,,,
코레일,1호선,동두천,경기도 동두천시 동두천동 245-31,경기도 동두천시 평화로 2687(동두천역),경기도,동두천시,평화로,2687(동두천역),,,,,
코레일,1호선,동두천중앙,경기도 동두천시 생연동 726-3,경기도 동두천시 동두천로 228,경기도,동두천시,동두천로,228,,,,,
코레일,1호선,동암,인천 부평구 십정2동474-1,인천부평구 동암광장로 10,인천부평구,동암광장로,10,,,,,,
코레일,1호선,동인천,인천광역시 중구 인현동 1-613,인천광역시 중구 참외전로 121 ,인천광역시,중구,참외전로,121,,,,,
코레일,1호선,두정,충청남도 천안시 서북구 두정동 84-1,충청남도 천안시 서북구 두정로 289  ,충청남도,천안시,서북구,두정로,289,,,,
코레일,1호선,망월사,경기도 의정부시 호원동 50-5,경기도 의정부시 평화로 221,경기도,의정부시,평화로,221,,,,,
코레일,1호선,명학,경기도 안양시 안양6동 383-1,경기도 안양시 만안구 안안로 20,경기도,안양시,만안구,안안로,20,,,,
코레일,1호선,방학,서울시 도봉구 도봉로 150다길 3,서울시 도봉구 방학동 728,서울시,도봉구,방학동,728,,,,,
코레일,1호선,배방,충청남도 아산시 배방읍 구령리 148-2,충청남도 아산시 배방읍 온천대로 1967  ,충청남도,아산시,배방읍,온천대로,1967,,,,
코레일,1호선,백운,인천광역시 부평구 십정동 541-1,인천광역시 부평구 마장로 55번길 14,인천광역시,부평구,마장로,55번길,14,,,,
코레일,1호선,병점,경기도 화성시 진암동 824-1,경기도 화성시 떡전골로 97,경기도,화성시,떡전골로,97,,,,,
코레일,1호선,보산,경기도 동두천시 보산동 422,경기도 동두천시 평화로 2539,경기도,동두천시,평화로,2539,,,,,
코레일,1호선,봉명,봉명동 20-2,충청남도 천안시 동남구 차돌로 51,충청남도,천안시,동남구,차돌로,51,,,,
코레일,1호선,부개,인천광역시 부평구 부개동 468,인천광역시 부평구 수변로 22  ,인천광역시,부평구,수변로,22,,,,,
코레일,1호선,부천,경기도 부천시 소사구 심곡본동 316-2,경기도 부천시 부천로 1,경기도,부천시,부천로,1,,,,,
코레일,1호선,부평,인천광역시 부평구 부평동 738-21,인천광역시 부평구 광장로 16,인천광역시,부평구,광장로,16,,,,,
코레일,1호선,서동탄,경기도 오산시 외삼미로 242,경기도 오산시 외삼미로 15번길 75-60,경기도,오산시,외삼미로,15번길,75-60,,,,
코레일,1호선,서정리,경기도 평택시 서정동 427-53,경기도 평택시 탄현로51,경기도,평택시,탄현로51,,,,,,
코레일,1호선,석계,서울특별시 노원구 월계동 36-4,서울특별시 노원구 화랑로 341,서울특별시,노원구,화랑로,341,,,,,
코레일,1호선,석수,안양시 만안구 석수2동 423번지,경기도 안양시 만안구 경수대로 1431,경기도,안양시,만안구,경수대로,1431,,,,
코레일,1호선,성균관대,경기도 수원시 장안구 율전동 495-2,경기도 수원시 장안구 서부로 2149  ,경기도,수원시,장안구,서부로,2149,,,,
코레일,1호선,성환,충청남도 천안시 서북구 성환읍 성환리 449-128,충청남도 천안시 서북구 성환읍 성환1로 237-5  ,충청남도,천안시,서북구,성환읍,성환1로,237-5,,,
코레일,1호선,세류,경기도 수원시 권선구 장지동 25-4,경기도 수원시 권선구 정조로 393-1(정자동 세류역사)  ,경기도,수원시,권선구,정조로,393-1(정자동,세류역사),,,
코레일,1호선,세마,경기도 오산시 세교동 244-5,경기도 오산시 세마역로 88,경기도,오산시,세마역로,88,,,,,
코레일,1호선,소사,경기도 부천시 소사구 소사본동 395,경기도 부천시 소사구 경인로 363,경기도,부천시,소사구,경인로,363,,,,
코레일,1호선,소요산,경기도 동두천시 상봄암동 126-3,경기도 동두천시 평화로 2925,경기도,동두천시,평화로,2925,,,,,
코레일,1호선,송내,경기도 부천시 소사구 송내동 632-4,경기도 부천시 소사구 송내대로 43  ,경기도,부천시,소사구,송내대로,43,,,,
코레일,1호선,송탄,경기도 평택시 신장동 257-5,경기도 평택시 송탄공원로 43,경기도,평택시,송탄공원로,43,,,,,
코레일,1호선,수원,경기도 수원시 팔달구 매산로1가 18,경기도 수원시 팔달구 덕영대로 944 924 애경백화점  ,경기도,수원시,팔달구,덕영대로,944,924,애경백화점,,
코레일,1호선,신길,서울특별시 영등포구 신길동 41-1,서울특별시 영등포구 영등포로 327  ,서울특별시,영등포구,영등포로,327,,,,,
코레일,1호선,신도림,서울시 구로구 신도림동 460-26,서울특별시 구로구 새말로 117-21  ,서울특별시,구로구,새말로,117-21,,,,,
코레일,1호선,신이문,서울특별시 동대문구 이문동 7,서울특별시 동대문구 한천로 472,서울특별시,동대문구,한천로,472,,,,,
코레일,1호선,신창(순천향대),충남 아산시 신창면 행목리 346-46,충남 아산시 신창면 행목로 50  ,충남,아산시,신창면,행목로,50,,,,
코레일,1호선,쌍용(나사렛대),천안시 서북구 쌍용2동 426-3번지,충청남도 천안시 서북구 쌍용19로 20,충청남도,천안시,서북구,쌍용19로,20,,,,
코레일,1호선,아산,충청남도 아산시 배방읍 장재리 268,충청남도 아산시 배방읍 희망로 90,충청남도,아산시,배방읍,희망로,90,,,,
코레일,1호선,안양,경기도 안양시 만안구 안양동 88-1,경기도 안양시 만안구 만안로 232,경기도,안양시,만안구,만안로,232,,,,
코레일,1호선,양주,경기도 양주시 남방동 94-1,경기도 양주시 평화로 919,경기도,양주시,평화로,919,,,,,
코레일,1호선,역곡,경기도 부천시 원미곡 역곡동 382,경기도 부천시 역곡로 1,경기도,부천시,역곡로,1,,,,,
코레일,1호선,영등포,서울특별시 영등포구 영등포동 618-496,서울특별시 영등포구 경인로 846,서울특별시,영등포구,경인로,846,,,,,
코레일,1호선,오류동,서울시 구로구 오류동 66,서울시 구로구 경인로 20길 13,서울시,구로구,경인로,20길,13,,,,
코레일,1호선,오산,경기도 오산시 오산동 603-116,경기도 오산시 역광장로 59,경기도,오산시,역광장로,59,,,,,
코레일,1호선,오산대,경기도 오산시 수청동 435-1,경기도 오산시 청학로 236,경기도,오산시,청학로,236,,,,,
코레일,1호선,온수,서울시 구로구 온수동51-7,서울시 구로구 부일로 872,서울시,구로구,부일로,872,,,,,
코레일,1호선,온양온천,충청남도 아산시 온천동 56-9  ,충청남도 아산시 온천대로 1496  ,충청남도,아산시,온천대로,1496,,,,,
코레일,1호선,외대앞,서울특별시 동대문구 이문동 360-5,서울특별시 동대문구 휘경로 27  ,서울특별시,동대문구,휘경로,27,,,,,
코레일,1호선,용산,서울 용산구 한강로3가 40-999,서울 용산구 한강대로23길 55,서울,용산구,한강대로23길,55,,,,,
코레일,1호선,월계,서울특별시 노원구 월계동 263-1,서울시 노원구 월계로 53길 40,서울시,노원구,월계로,53길,40,,,,
코레일,1호선,의왕,경기도 의왕시 삼동 191,경기도 의왕시 철도박물관로 66  ,경기도,의왕시,철도박물관로,66,,,,,
코레일,1호선,의정부,경기도 의정부시 의정부동 168-54,경기도 의정부시 평화로 525,경기도,의정부시,평화로,525,,,,,
코레일,1호선,인천,인천광역시 중구,인천광역시 중구 제물량로 269,인천광역시,중구,제물량로,269,,,,,
코레일,1호선,제물포,인천광역시 미추홀구 숭의동 450-39,인천광역시 미출홀구 경인로 129,인천광역시,미출홀구,경인로,129,,,,,
코레일,1호선,주안,인천광역시 남구 주안동 125,인천광역시 남구 주안로 95-19  ,인천광역시,남구,주안로,95-19,,,,,
코레일,1호선,중동,경기도 부천시 송내동 632번지,경기도 부천시 소사구 중동로 73,경기도,부천시,소사구,중동로,73,,,,
코레일,1호선,지행,동두천시 지행동 481-2,경기도 동두천시 평화로 2285,경기도,동두천시,평화로,2285,,,,,
코레일,1호선,직산,충청남도 천안시 서북구 직산읍 모시리 58-11,충청남도 천안시 서북구 직산읍 천안대로 1471-33  ,충청남도,천안시,서북구,직산읍,천안대로,1471-33,,,
코레일,1호선,진위,경기도 평택시 진위면 하북리 139-3,경기도 평택시 진위면 경기대로 1855,경기도,평택시,진위면,경기대로,1855,,,,
코레일,1호선,창동,서울특별시 도봉구 마들로 11길 77(창동역 1호선),서울특별시 도봉구 마들로 11길 77(창동역 1호선),서울특별시,도봉구,마들로,11길,77(창동역,1호선),,,
코레일,1호선,천안,충청남도 천안시 대흥동 57-1,충청남도 천안시 동남구 대흥로 239,충청남도,천안시,동남구,대흥로,239,,,,
코레일,1호선,탕정,,충남 아산시 탕정면 한들물빛6로 11,충남,아산시,탕정면,한들물빛6로,11,,,,
코레일,1호선,평택,경기도 평택시 평택동 185-568,경기도 평택시 평택로 51,경기도,평택시,평택로,51,,,,,
코레일,1호선,평택지제,지제동 141-1,경기도 평택시 경기대로 777,경기도,평택시,경기대로,777,,,,,
코레일,1호선,화서,경기도 수원시 팔달구 화서동 464,경기도 수원시 팔달구 덕영대로 692  ,경기도,수원시,팔달구,덕영대로,692,,,,
코레일,1호선,회기,서울특별시 동대문구 휘경동 317-101,서울특별시 동대문구 회기로 196,서울특별시,동대문구,회기로,196,,,,,
코레일,1호선,회룡,경기도 의정부시 호원동 50-5(회룡역),경기도 의정부시 평화로 363(회룡역),경기도,의정부시,평화로,363(회룡역),,,,,
서울교통공사,1호선,동대문,서울특별시 종로구 창신동 492-1 동대문역(1호선),서울특별시 종로구 종로 지하302(창신동),서울특별시,종로구,종로,지하302(창신동),,,,,
서울교통공사,1호선,동묘앞,서울특별시 종로구 숭인동 117 동묘앞역(1호선),서울특별시 종로구 종로 359(숭인동),서울특별시,종로구,종로,359(숭인동),,,,,
서울교통공사,1호선,서울역,서울특별시 중구 남대문로5가 73-6 서울역(1호선),서울특별시 중구 세종대로 지하2(남대문로 5가),서울특별시,중구,세종대로,지하2(남대문로,5가),,,,
서울교통공사,1호선,시청,서울특별시 중구 정동 5-5 시청역(1호선),서울특별시 중구 세종대로 지하101(정동),서울특별시,중구,세종대로,지하101(정동),,,,,
서울교통공사,1호선,신설동,서울특별시 동대문구 신설동 76-5 신설동역(1호선),서울특별시 동대문구 왕산로 지하1(신설동),서울특별시,동대문구,왕산로,지하1(신설동),,,,,
서울교통공사,1호선,제기동,서울특별시 동대문구 제기동 65 제기동역(1호선),서울특별시 동대문구 왕산로 지하93(제기동),서울특별시,동대문구,왕산로,지하93(제기동),,,,,
서울교통공사,1호선,종각,서울특별시 종로구 종로1가 54 종각역(1호선),서울특별시 종로구 종로 지하55(종로1가),서울특별시,종로구,종로,지하55(종로1가),,,,,
서울교통공사,1호선,종로3가,서울특별시 종로구 종로3가 10-5 종로3가역(1호선),서울특별시 종로구 종로 지하129(종로3가),서울특별시,종로구,종로,지하129(종로3가),,,,,
서울교통공사,1호선,종로5가,서울특별시 종로구 종로5가 82-1 종로5가역(1호선),서울특별시 종로구 종로 지하216(종로5가),서울특별시,종로구,종로,지하216(종로5가),,,,,
서울교통공사,1호선,청량리(서울시립대입구),서울특별시 동대문구 전농동 620-69 청량리역(1호선),서울특별시 동대문구 왕산로 지하205(전농동),서울특별시,동대문구,왕산로,지하205(전농동),,,,,
코레일,3호선,대곡,경기도 고양시 대장동 426-2,경기도 교양시 대주로 107번길 71-81,경기도,교양시,대주로,107번길,71-81,,,,
코레일,3호선,대화,경기도 고양시 일산서구 대화동 2221,경기 고양시 일산서구 중앙로 1569,경기,고양시,일산서구,중앙로,1569,,,,
코레일,3호선,마두,경기도 고양시 일산동구 마두동 765-1,경기도 고양시 일산동구 중앙로 지하 1180,경기도,고양시,일산동구,중앙로,지하,1180,,,
코레일,3호선,백석,경기도 고양시 일산동구 백석동 1538,경기도 고양시 일산동구 중앙로 1042 (백석동) 백석역,경기도,고양시,일산동구,중앙로,1042,(백석동),백석역,,
코레일,3호선,삼송,경기도 고양시 덕양구 삼송동 18-5,경기도 고양시 덕양구 삼송로 194 삼송역,경기도,고양시,덕양구,삼송로,194,삼송역,,,
코레일,3호선,원당,경기도 고양시 덕양구 성사동 410-7,경기도 고양시 덕양구 고양대로 1429 원당역,경기도,고양시,덕양구,고양대로,1429,원당역,,,
코레일,3호선,원흥,경기도 고양시 덕양구 원흥동143-1,"경기도 고양시 덕양구 권율대로 681 (원흥동, 원흥역) 원흥역",경기도,고양시,덕양구,권율대로,681,"(원흥동,",원흥역),원흥역,
코레일,3호선,정발산,경기도 고양시 일산동구 마두동 1123,경기도 고양시 일산동구 중앙로 1270  ,경기도,고양시,일산동구,중앙로,1270,,,,
코레일,3호선,주엽,경기도 고양시 일산 서구,"경기도 고양시 일산서구 중앙로 1432 (주엽동, 주엽역) 주엽역",경기도,고양시,일산서구,중앙로,1432,"(주엽동,",주엽역),주엽역,
코레일,3호선,화정,경기도 고양시 덕양구 화정동 1098,경기도 고양시 덕양구 화정로 60,경기도,고양시,덕양구,화정로,60,,,,
서울교통공사,3호선,가락시장,서울특별시 송파구 가락동 184-23 가락시장역(3호선),서울특별시 송파구 송파대로 지하257(가락동),서울특별시,송파구,송파대로,지하257(가락동),,,,,
서울교통공사,3호선,경복궁(정부서울청사),서울특별시 종로구 적선동 81-1 경복궁역(3호선),서울특별시 종로구 사직로 지하130(적선동),서울특별시,종로구,사직로,지하130(적선동),,,,,
서울교통공사,3호선,경찰병원,서울특별시 송파구 가락동 10-15 경찰병원역(3호선),서울특별시 송파구 중대로 지하149(가락동),서울특별시,송파구,중대로,지하149(가락동),,,,,
서울교통공사,3호선,고속터미널,서울특별시 서초구 반포동 19-11 고속터미널역(3호선),서울특별시 서초구 신반포로 지하188(반포동),서울특별시,서초구,신반포로,지하188(반포동),,,,,
서울교통공사,3호선,교대(법원·검찰청),서울특별시 서초구 서초동 1748-4 교대역(3호선),서울특별시 서초구 서초대로 지하294(서초동),서울특별시,서초구,서초대로,지하294(서초동),,,,,
서울교통공사,3호선,구파발,서울특별시 은평구 진관동 67-26 구파발역(3호선),서울특별시 은평구 진관2로 지하15-25 (진관동),서울특별시,은평구,진관2로,지하15-25,(진관동),,,,
서울교통공사,3호선,금호,서울특별시 성동구 금호동4가 1470 금호역(3호선),서울특별시 성동구 동호로 지하104(금호동4가),서울특별시,성동구,동호로,지하104(금호동4가),,,,,
서울교통공사,3호선,남부터미널(예술의전당),서울특별시 서초구 서초동 1748-30 남부터미널역(3호선),서울특별시 서초구 서초중앙로 지하31(서초동),서울특별시,서초구,서초중앙로,지하31(서초동),,,,,
서울교통공사,3호선,녹번,서울특별시 은평구 녹번동 55 녹번역(3호선),서울특별시 은평구 통일로 지하602-1(녹번동),서울특별시,은평구,통일로,지하602-1(녹번동),,,,,
서울교통공사,3호선,대청,서울특별시 강남구 일원동 700-9 대청역(3호선),서울특별시 강남구 일원로 지하2(일원동),서울특별시,강남구,일원로,지하2(일원동),,,,,
서울교통공사,3호선,대치,서울특별시 강남구 대치동 317-3 대치역(3호선),서울특별시 강남구 남부순환로 지하2952(대치동),서울특별시,강남구,남부순환로,지하2952(대치동),,,,,
서울교통공사,3호선,도곡,서울특별시 강남구 도곡동 339-2 도곡역(3호선),서울특별시 강남구 남부순환로 지하2814(도곡동),서울특별시,강남구,남부순환로,지하2814(도곡동),,,,,
서울교통공사,3호선,독립문,서울특별시 서대문구 현저동 101 독립문역(3호선),서울특별시 서대문구 통일로 지하247(현저동),서울특별시,서대문구,통일로,지하247(현저동),,,,,
서울교통공사,3호선,동대입구,서울특별시 중구 장충동2가 199-3 동대입구역(3호선),서울특별시 중구 동호로 지하256(장충동2가),서울특별시,중구,동호로,지하256(장충동2가),,,,,
서울교통공사,3호선,매봉,서울특별시 강남구 도곡동 179-2 매봉역(3호선),서울특별시 강남구 남부순환로 지하2744(도곡동),서울특별시,강남구,남부순환로,지하2744(도곡동),,,,,
서울교통공사,3호선,무악재,서울특별시 서대문구 홍제동 26-1 무악재역(3호선),서울특별시 서대문구 통일로 지하361(홍제동),서울특별시,서대문구,통일로,지하361(홍제동),,,,,
서울교통공사,3호선,불광,서울특별시 은평구 대조동 13-10 불광역(3호선),서울특별시 은평구 통일로 지하723-1(대조동),서울특별시,은평구,통일로,지하723-1(대조동),,,,,
서울교통공사,3호선,수서,서울특별시 강남구 수서동 728 수서역(3호선),서울특별시 강남구 광평로 지하270(수서동),서울특별시,강남구,광평로,지하270(수서동),,,,,
서울교통공사,3호선,신사,서울특별시 강남구 신사동 667 신사역(3호선),서울특별시 강남구 도산대로 지하102(신사동),서울특별시,강남구,도산대로,지하102(신사동),,,,,
서울교통공사,3호선,안국,서울특별시 종로구 안국동 73-1 안국역(3호선),서울특별시 종로구 율곡로 지하62(안국동),서울특별시,종로구,율곡로,지하62(안국동),,,,,
서울교통공사,3호선,압구정,서울특별시 강남구 신사동 668 압구정역(3호선),서울특별시 강남구 압구정로 지하172(신사동),서울특별시,강남구,압구정로,지하172(신사동),,,,,
서울교통공사,3호선,약수,서울특별시 중구 신당동 369-44 약수역(3호선),서울특별시 중구 다산로 지하122(신당동),서울특별시,중구,다산로,지하122(신당동),,,,,
서울교통공사,3호선,양재(서초구청),서울특별시 서초구 서초동 1366-9 양재역(3호선),서울특별시 서초구 남부순환로 지하2585(서초동),서울특별시,서초구,남부순환로,지하2585(서초동),,,,,
서울교통공사,3호선,연신내,서울특별시 은평구 갈현동 397 연신내역(3호선),서울특별시 은평구 통일로 지하849(갈현동),서울특별시,은평구,통일로,지하849(갈현동),,,,,
서울교통공사,3호선,오금,서울특별시 송파구 오금동 44-2 오금역(3호선),서울특별시 송파구 오금로 지하321(오금동),서울특별시,송파구,오금로,지하321(오금동),,,,,
서울교통공사,3호선,옥수,서울특별시 성동구 옥수동 168-1 옥수역(3호선),서울특별시 성동구 동호로 21(옥수동),서울특별시,성동구,동호로,21(옥수동),,,,,
서울교통공사,3호선,을지로3가,서울특별시 중구 을지로3가 282-8 을지로3가역(3호선),서울특별시 중구 을지로 지하129(을지로3가),서울특별시,중구,을지로,지하129(을지로3가),,,,,
서울교통공사,3호선,일원,서울특별시 강남구 일원동 717 일원역(3호선),서울특별시 강남구 일원로 지하121(일원동),서울특별시,강남구,일원로,지하121(일원동),,,,,
서울교통공사,3호선,잠원,서울특별시 서초구 잠원동 100-1 잠원역(3호선),서울특별시 서초구 잠원로4길 지하46(잠원동),서울특별시,서초구,잠원로4길,지하46(잠원동),,,,,
서울교통공사,3호선,종로3가,서울특별시 종로구 묘동 20-5 종로3가역(3호선),서울특별시 종로구 돈화문로 지하30(묘동),서울특별시,종로구,돈화문로,지하30(묘동),,,,,
서울교통공사,3호선,지축,경기도 고양시 덕양구 지축동 818-64 지축역(3호선),경기도 고양시 덕양구 삼송로 300(지축동),경기도,고양시,덕양구,삼송로,300(지축동),,,,
서울교통공사,3호선,충무로,서울특별시 중구 필동2가 16-2 충무로역(3호선),서울특별시 중구 퇴계로 지하214(필동2가),서울특별시,중구,퇴계로,지하214(필동2가),,,,,
서울교통공사,3호선,학여울,서울특별시 강남구 대치동 514-3 학여울역(3호선),서울특별시 강남구 남부순환로 지하3104(대치동),서울특별시,강남구,남부순환로,지하3104(대치동),,,,,
서울교통공사,3호선,홍제,서울특별시 서대문구 홍제동 161-1 홍제역(3호선),서울특별시 서대문구 통일로 지하440-1(홍제동),서울특별시,서대문구,통일로,지하440-1(홍제동),,,,,
코레일,4호선,경마공원,경기도 과천시 과천동 654,경기도 과천시 경마공원대로 지하105,경기도,과천시,경마공원대로,지하105,,,,,
코레일,4호선,고잔,경기도 안산시 단원구 고잔동 453-67,경기도 안산시 단원구 중앙대로 784,경기도,안산시,단원구,중앙대로,784,,,,
코레일,4호선,과천,경기도 과천시 별양동 2,경기도 과천시 별양로 지하 177,경기도,과천시,별양로,지하,177,,,,
코레일,4호선,금정,경기도 군포시 금정동 613 금정역,경기도 군포시 군포로 750(금정동),경기도,군포시,군포로,750(금정동),,,,,
코레일,4호선,대공원,경기도 과천시 과천동 727-1,경기도 과천시 대공원대로 50,경기도,과천시,대공원대로,50,,,,,
코레일,4호선,대야미,군포시 대야1로28번,군포시 대야1로 28번,군포시,대야1로,28번,,,,,,
코레일,4호선,반월,경기도 안산시 상록구 건건동 산62-1,경기도 안산시 상록구 건건로 119-10,경기도,안산시,상록구,건건로,119-10,,,,
코레일,4호선,범계,경기도 안양시 동안구 호계동 1039-2,경기도 안양시 동안구 동안로 지하 130,경기도,안양시,동안구,동안로,지하,130,,,
코레일,4호선,산본,경기도 군포시 산본동 1231번지,경기도 군포시 번영로 504 (산본동),경기도,군포시,번영로,504,(산본동),,,,
코레일,4호선,상록수,경기도 안산시 상록구 본오동 1177,경기도 안산시 상록수 상록수로 61,경기도,안산시,상록수,상록수로,61,,,,
코레일,4호선,선바위,경기도 과천시 과천동 355,경기도 과천시 중앙로 440,경기도,과천시,중앙로,440,,,,,
코레일,4호선,수리산,경기도 군포시 산본동 1231-1,경기도 군포시 번영로 385,경기도,군포시,번영로,385,,,,,
코레일,4호선,신길온천,경기도 안산시 단원구 신길동 216-2,경기도 안산시 단원구 황고개로 2,경기도,안산시,단원구,황고개로,2,,,,
코레일,4호선,안산,경기도 안산시 단원구 원곡동 377-2,경기도 안산시 단원구 중앙대로 462,경기도,안산시,단원구,중앙대로,462,,,,
코레일,4호선,오이도,경기도 시흥시 정왕동 878,경기도 시흥시 역전로 430  ,경기도,시흥시,역전로,430,,,,,
코레일,4호선,인덕원,경기도 안양시 동안구 관양2동 1566,경기도 안양시 동안구 흥안대로 529,경기도,안양시,동안구,흥안대로,529,,,,
코레일,4호선,정부과천청사,경기도 과천시 별양동 1,경기도 과천시 중앙로 지하 100(별양동),경기도,과천시,중앙로,지하,100(별양동),,,,
코레일,4호선,정왕,경기도 시흥시 정왕동 2324-2,경기도 시흥시 마유로 418번길 15,경기도,시흥시,마유로,418번길,15,,,,
코레일,4호선,중앙,경기도 안산시 단원구 고잔동 167-378 중앙역,경기도 안산시 단원구 중앙대로 918,경기도,안산시,단원구,중앙대로,918,,,,
