지역,단지,세대수,주소,lng,lat
고양시 덕양구,삼송11단지,832,경기도 고양시 덕양구 원흥1로 25,126.86549133602188,37.6509919639056
고양시 덕양구,고양지축 A-1블록 신혼희망타운 행복주택,250,경기도 고양시 덕양구 오부자로 99,126.92103741284238,37.65333071627472
고양시 덕양구,고양지축 A-4BL 행복주택,473,경기도 고양시 덕양구 오부자로 43,126.91494556350136,37.65403825740302
고양시 덕양구,고양삼송 LH원흥마을13단지,947,경기도 고양시 덕양구 원흥1로 35,126.8688879977526,37.65263107072943
고양시 덕양구,서정마을LH12단지,276,경기도 고양시 덕양구 서정마을2로 17,126.8476478856895,37.62121525678347
고양시 덕양구,고양삼송 LH10단지,777,경기도 고양시 덕양구 원흥1로 31,126.86634579610433,37.65160109814829
고양시 덕양구,고양향동 A-4블록 행복주택,498,경기도 고양시 덕양구 향기5로 65,126.89537744307428,37.60764879062772
고양시 덕양구,고양지축 행복주택 A-3,890,경기도 고양시 덕양구 오부자로 150,126.9204432239024,37.647316256183686
구리시,구리수택 행복주택,394,경기도 구리시 체육관로74번길 67,127.14162519379504,37.59136082830985
김포시,김포한강1단지(행복Aa-12),443,경기도 김포시 허산길 50,126.66675971935432,37.63710579930954
김포시,김포마송 B-5블록 행복주택,500,경기도 김포시 통진읍 율마로438번길 51,126.60649852691942,37.68840196066348
김포시,김포양곡 E-1블록 행복주택,990,경기도 김포시 양촌읍 양곡2로80번길 61,126.6315478918963,37.65874621152147
김포시,김포마송 B-3블록 행복·영구임대주택,450,경기도 김포시 통진읍 율마로450번길 51,126.60651058210466,37.689339011561735
김포시,곡촌마을,362,경기도 김포시 양촌읍 양곡4로197번길 11,126.6302239296808,37.66062961522417
김포시,김포장기11단지(행복B-11),196,경기도 김포시 김포한강3로237번길 33,126.66386549486998,37.636993976328405
김포시,한가람마을,1500,경기도 김포시 김포한강4로 564,126.62040098508928,37.64669182466372
남양주시,남양주별내 A1-2 행복주택리츠,1220,경기도 남양주시 덕송3로 30,127.11359066344797,37.669932310990966
남양주시,LH퍼스트포레,128,경기도 남양주시 순화궁로 458-16,127.19378267534393,37.72839340628221
남양주시,남양주장현 행복주택 2단지,870,경기도 남양주시 진접읍 금강로 1530-33,127.1217241511931,37.66698024605811
남양주시,별가람마을 1-8단지,872,경기도 남양주시 순화궁로 458-58,127.12320946321908,37.66729855180756
남양주시,남양주금곡 행복주택,352,경기도 남양주시 경춘로 899,127.20126151740816,37.633147601959294
남양주시,다산해모로,24,경기도 남양주시 미금로19번길 9,127.1518508022544,37.60585856351459
동두천시,동두천송내 S1BL 행복주택,260,경기도 동두천시 이담로 10,127.04879462783246,37.88821049993498
부천시,부천중동1 행복주택,26,경기도 부천시 중동로 88,126.76527909867858,37.48758861657998
부천시,부천옥길 행복주택(A4BL),270,경기도 부천시 양지로 151,126.81957058305898,37.47088921212735
성남시 수정구,성남고등 A-1 행복주택리츠,1040,경기도 성남시 수정구 고등로 57,127.09957651857708,37.43052951094316
성남시 수정구,판교제2테크노밸리 A1블록 창업지원주택,200,경기도 성남시 수정구 창업로40번길 6,127.09599464426005,37.41263375580655
성남시 수정구,성남위례A2-15BL 지역전략산업 및 창업지원주택,470,경기도 성남시 수정구 위례순환로 53,127.135125173279,37.471789895686754
성남시 수정구,성남단대,16,경기도 성남시 수정구 산성대로405번길 9-9,127.15714254262824,37.44818319944516
성남시 수정구,단대동 행복주택,60,경기도 성남시 수정구 단대로23번길 36,127.1558633056124,37.44984275737326
수원시 권선구,수원호매실21(행복),400,경기도 수원시 권선구 호매실로 103,126.95953329909776,37.25382970858991
수원시 영통구,광교 원천,300,경기도 수원시 영통구 광교중앙로49번길 40,127.0501050944424,37.280532895127486
수원시 영통구,수원 광교,204,경기도 수원시 영통구 창룡대로 250,127.03672175626016,37.294859810400936
수원시 영통구,수원 영통,100,경기도 수원시 영통구 동탄지성로470번길 34,127.04786546274802,37.23388006158263
수원시 팔달구,수원고등(행복),500,경기도 수원시 팔달구 고등로 8,126.99830877175026,37.272569280760656
시흥시,시흥은계 A1 행복주택,820,경기도 시흥시 은계북길 7,126.79772247716171,37.449619261258086
시흥시,LH트리플센텀,197,경기도 시흥시 시청로 79,126.79726237714748,37.38135738316892
시흥시,시흥장현 A-4 행복주택,996,경기도 시흥시 능곡서로 27,126.80202315764092,37.3700170553073
안성시,아양 LH6단지,699,경기도 안성시 아양로 72,127.25728435508027,37.00610796329463
안양시 만안구,안양명학 A-1블록 행복주택,24,경기도 안양시 만안구 명학로 15,126.93796345138738,37.37830273618591
양주시,양주덕정1(행복주택),280,경기도 양주시 고암길 251,127.07275940681778,37.83419289466357
양주시,양주옥정3단지,1500,경기도 양주시 옥정서로 254,127.0884543882616,37.83540294644786
양주시,양주고읍 LH13단지아파트,508,경기도 양주시 고읍남로 94,127.076994373343,37.788299893208816
양주시,양주회천 A17BL 신혼희망타운 행복주택,254,경기도 양주시 덕계로 100,127.05834839665236,37.818335079771
양평군,양평 공흥,40,경기도 양평군 양평읍 남북로 70,127.50221172525804,37.48892803558999
오산시,오산청학 H-1 행복주택,178,경기도 오산시 대호로 39,127.05713099912224,37.15477479245098
오산시,오산청호 2 행복주택,448,경기도 오산시 남부대로 486-13,127.08730676575698,37.13070259832412
오산시,오산세교2 A-7 행복주택,1136,경기도 오산시 가수행복로 55-5,127.05844217823756,37.14707009625915
오산시,오산세교 행복주택,720,경기도 오산시 경기대로761번길 10,127.04588144969291,37.1862851164528
용인시 처인구,용인김량장(행복),70,경기도 용인시 처인구 금령로40번길 15-5,127.2014002279097,37.23355854838882
의왕시,오봉산마을,2200,경기도 의왕시 행복마을3로 18,126.97598504498272,37.34197813045464
의왕시,의왕포일 1블록 창업지원주택,110,경기도 의왕시 성고개로 110,126.99239904645653,37.40145252678605
의정부시,녹양LH5단지,423,경기도 의정부시 본원로46번길 16,127.04179235612298,37.76314921274777
의정부시,의정부호원 행복주택,166,경기도 의정부시 평화로 399-8,127.0478244133636,37.72805870303035
의정부시,고산 더 라피니엘,293,경기도 의정부시 서광로 101,127.10868074397874,37.726820016079856
의정부시,정음마을 고산1단지,500,경기도 의정부시 입암로 14,127.11761691023084,37.74323161146621
의정부시,양지마을10단지,812,경기도 의정부시 용민로 373-17,127.10880223351089,37.75557882786308
이천시,이천마장 행복주택 3단지,290,경기도 이천시 마장면 양촌로30번길 29,127.35627978465666,37.25594966099733
파주시,가람마을,580,경기도 파주시 소리천로 203,126.76816479245664,37.73036766176477
파주시,초롱꽃마을11단지,242,경기도 파주시 양지로 112,126.72139205963978,37.708170112586046
파주시,파주법원,250,경기도 파주시 법원읍 법원로 12,126.87763369673922,37.847184093364575
파주시,파주출판 C76BL,280,경기도 파주시 문발로 430,126.69232551941651,37.73169423035201
파주시,노을빛마을 16단지,320,경기도 파주시 노을빛로 41,126.70674563163396,37.72692206793868
파주시,초롱꽃마을3단지,1207,경기도 파주시 초롱꽃로 17,126.70825862797102,37.71424918250855
파주시,산내마을,1700,경기도 파주시 교하로 20,126.7333744972047,37.73314792544996
파주시,파주운정3 A25BL(초롱꽃10),1000,경기도 파주시 숲속노을로 60,126.71982607753664,37.70843444091453
평택시,고덕LH17단지,298,경기도 평택시 고덕여염로 20,127.04611200805404,37.0373231652906
평택시,평택고덕 A-6블록 행복주택(LH2단지),1600,경기도 평택시 고덕국제대로 232,127.04539917242526,37.05771476938939
평택시,소사벌 배다리마을5단지,840,경기도 평택시 죽백4로 60,127.12360438596474,37.00510374516671
평택시,평택고덕 A-7블록 신혼희망타운 행복주택,295,경기도 평택시 고덕국제대로 202,127.0453450376926,37.05648707727519
평택시,청북LHB12단지,326,경기도 평택시 청북읍 안청로1길 21,126.91421437532986,37.014224502047085
포천시,non,0,non,0.0,0.0
하남시,하남감일 스윗시티 행복주택 6단지,672,경기도 하남시 감일순환로 130,127.1601157694098,37.51224765150221
하남시,위례A3-3bBL 행복주택,167,경기도 하남시 위례학암로 30,127.15845026855084,37.4868325380497
하남시,하남감일 7단지(행복주택) A2블록,425,경기도 하남시 감일순환로 140,127.1598484772436,37.51154973589835
하남시,하남감일 A7BL 행복주택,170,경기도 하남시 감일순환로 40,127.1638901086557,37.50807533321906
하남시,위례A3-3bBL 행복주택,1,경기도 하남시 위례학암로 30,127.15846724798304,37.48684152534921
하남시,미사강변도시C3단지,1492,경기도 하남시 미사강변한강로 290,127.19584500809832,37.56356427100614
화성시,"화성봉담2(LH4단지)(행복,임대상가)",602,경기도 화성시 봉담읍 상리3길 111,126.95119665813586,37.22908610853312
화성시,엘크루 루엘리안,152,경기도 화성시 봉담읍 상리2길 121,126.94405246659925,37.2291415172292
화성시,"화성남양뉴타운(LH6단지)(행복,임대상가)",410,경기도 화성시 남양읍 남양로862번길 16,126.83427283576246,37.21252257434132
화성시,남양뉴타운 B-9블록 행복주택,880,경기도 화성시 남양읍 남양중앙로 420,126.8411823847242,37.20276465980289
화성시,화성동탄2 A57-1블록 행복주택,850,경기도 화성시 동탄신리천로8길 15,127.14225866290296,37.1756369804969
화성시,화성상리 1블록 행복주택,450,경기도 화성시 봉담읍 삼천병마로 1256-13,127.142230511903,37.175637014290025
화성시,화성비봉 A-2블록 행복주택,440,경기도 화성시 비봉면 새비봉동로 17,126.87656107823916,37.242606092903806
화성시,"화성발안(1단지)(행복,임대상가)",608,경기도 화성시 향남읍 발안공단로 92-12,126.90978459532477,37.08763174370523
화성시,화성동탄2 A4-1블럭(2단지)(행복),1640,경기도 화성시 동탄영천로 108-21,127.10543898461056,37.2134655990505
화성시,디루체,390,경기도 화성시 동탄신리천로2길 65,127.12883004938676,37.175309940291285
화성시,"화성향남2(20단지)(행복,임대상가)",99,경기도 화성시 향남읍 벌말길 24,126.9025547151476,37.11226569591422
화성시,화성동탄2 C26블럭(26단지)(행복),608,경기도 화성시 동탄기흥로277번길 12,127.0913679701192,37.1856618228619
화성시,남양뉴타운 B-10블록 행복·국민·영구임대주택,696,경기도 화성시 남양읍 남양중앙로 419,126.84143902546376,37.20393186396642
화성시,화성동탄2 지원6-2블록 지역전략산업지원주택,280,경기도 화성시 동탄첨단산업1로 57,127.09135217790532,37.21461712823483
화성시,화성동탄2 A82블럭(28단지)(행복),820,경기도 화성시 동탄순환대로2길 13,127.0944712291585,37.16353397204463
화성시,화성동탄2 A77-1블럭(35단지)(행복),900,경기도 화성시 동탄순환대로10길 42,127.12169908003152,37.16632494144365
화성시,병점복합타운A1행복주택,862,경기도 화성시 병점노을1로 14,127.03147837754166,37.20236685235027
